                                                      Productions          |   lt                                                                      |   program                                                                 |   float                                                                   |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   neq                                                                     |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   eq                                                                      |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   for                                                                     |   not                                                                     |   geq                                                                     |   and                                                                     |   get                                                                     |   [                                                                       |   class                                                                   |   ]                                                                       |   sr                                                                      |   or                                                                      |   intNum                                                                  |   gt                                                                      |   int                                                                     |   {                                                                       |   }                                                                       |   return                                                                  |
                                               idnestRepeatFactor          |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [., id, idnest, idnestRepeatFactor]               |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |                                                                           |

                                                           idnest          |                                                                           |                                                                           |                                                                           |                                                                           |   idnest => [variable]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnest => [functionCall]                                                |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnest => [variable]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                           multOp          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   multOp => [*]                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   multOp => [/]                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   multOp => [and]                                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                  statementRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |   statementRepeat => [statement, statementRepeat]                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statementRepeat => [statement, statementRepeat]                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statementRepeat => [EPSILON]                                            |                                                                           |

                                                     arithExprMod          |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |   arithExprMod => [addOp, term, arithExpr]                                |   arithExprMod => [EPSILON]                                               |   arithExprMod => [EPSILON]                                               |   arithExprMod => [addOp, term, arithExpr]                                |                                                                           |                                                                           |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |   arithExprMod => [addOp, term, arithExpr]                                |                                                                           |   arithExprMod => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |

                                                    varDeclRepeat          |                                                                           |                                                                           |   varDeclRepeat => [varDecl, varDeclRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeat => [varDecl, varDeclRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeat => [varDecl, varDeclRepeat]                               |                                                                           |   varDeclRepeat => [EPSILON]                                              |                                                                           |

                                                    funcDefRepeat          |                                                                           |   funcDefRepeat => [EPSILON]                                              |   funcDefRepeat => [funcDef, funcDefRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |   funcDefRepeat => [funcDef, funcDefRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDefRepeat => [funcDef, funcDefRepeat]                               |                                                                           |                                                                           |                                                                           |

